sofifa_id,21,22,23,24,25,26,27,cluster,short_name,max_overall,max_overall-potential_%
219841.0,65.0,72.0,75.0,75.0,73.0,73.0,70.0,6,N. Figal,75.0,82.0
213414.0,65.0,69.0,71.0,72.0,75.0,73.0,73.0,6,W. Troost-Ekong,75.0,79.0
213597.0,66.0,73.0,74.0,74.0,75.0,72.0,73.0,6,D. Valdés,75.0,79.0
215245.0,64.0,66.0,67.0,73.0,73.0,75.0,73.0,6,A. Hunou,75.0,78.0
210450.0,64.0,65.0,67.0,75.0,75.0,75.0,72.0,6,A. Touré,75.0,79.0
208534.0,60.0,68.0,73.0,75.0,73.0,70.0,70.0,6,A. Mawson,75.0,84.0
212287.0,60.0,62.0,68.0,66.0,66.0,71.0,75.0,6,A. Maxsø,75.0,77.0
211879.0,62.0,70.0,73.0,74.0,75.0,75.0,73.0,6,J. Haberer,75.0,78.0
205970.0,61.0,66.0,67.0,71.0,71.0,75.0,74.0,6,J. Wallace,75.0,77.0
204883.0,65.0,66.0,65.0,65.0,73.0,75.0,73.0,6,B. Samba,75.0,79.0
222467.0,59.0,64.0,72.0,75.0,74.0,72.0,71.0,6,Ivi López,75.0,81.0
202697.0,64.0,65.0,71.0,74.0,74.0,75.0,74.0,6,J. Stephens,75.0,80.0
224444.0,63.0,68.0,68.0,67.0,71.0,73.0,75.0,6,H. Belkebla,75.0,77.0
211348.0,63.0,68.0,71.0,71.0,72.0,71.0,75.0,6,S. Dimitrievski,75.0,80.0
223524.0,67.0,72.0,72.0,74.0,73.0,70.0,71.0,6,E. Goldaniga,74.0,79.0
224987.0,63.0,63.0,67.0,70.0,70.0,69.0,74.0,6,I. Provedel,74.0,76.0
